dag;prediktion;övre konfidensgräns
2020-11-15;7;12
2020-11-16;7;12
2020-11-17;7;12
2020-11-18;7;12
2020-11-19;7;12
2020-11-20;7;12
2020-11-21;7;12
2020-11-22;7;12
2020-11-23;7;12
2020-11-24;7;12
2020-11-25;7;12
2020-11-26;7;12
2020-11-27;7;12
2020-11-28;7;12
2020-11-29;7;12
2020-11-30;7;12
2020-12-01;7;12
2020-12-02;7;12
2020-12-03;7;12
2020-12-04;7;12
2020-12-05;7;12
2020-12-06;7;12
2020-12-07;7;12
2020-12-08;6;12
2020-12-09;6;12
2020-12-10;6;12
2020-12-11;6;12
2020-12-12;6;12
2020-12-13;6;12
2020-12-14;6;12
2020-12-15;6;12
2020-12-16;6;12
2020-12-17;6;11
2020-12-18;6;11
2020-12-19;6;11
2020-12-20;6;11
2020-12-21;6;11
2020-12-22;6;11
2020-12-23;6;11
2020-12-24;6;11
2020-12-25;6;11
2020-12-26;6;11
2020-12-27;6;11
2020-12-28;6;11
2020-12-29;6;11
2020-12-30;6;11
2020-12-31;6;11
2021-01-01;6;11
2021-01-02;6;11
2021-01-03;6;11
2021-01-04;6;11
2021-01-05;6;11
2021-01-06;6;11
2021-01-07;6;11
2021-01-08;6;11
2021-01-09;6;11
2021-01-10;6;11
2021-01-11;6;11
2021-01-12;6;11
2021-01-13;6;11
2021-01-14;6;11
2021-01-15;6;11
2021-01-16;6;11
2021-01-17;6;11
2021-01-18;6;11
2021-01-19;6;11
2021-01-20;6;11
2021-01-21;6;11
2021-01-22;6;11
2021-01-23;6;11
2021-01-24;6;11
2021-01-25;6;11
2021-01-26;6;11
2021-01-27;6;11
2021-01-28;6;11
2021-01-29;6;11
2021-01-30;6;11
2021-01-31;6;11
2021-02-01;6;11
2021-02-02;6;11
2021-02-03;6;11
2021-02-04;6;11
2021-02-05;6;11
2021-02-06;6;11
2021-02-07;6;11
2021-02-08;6;11
2021-02-09;6;11
2021-02-10;6;11
2021-02-11;6;11
2021-02-12;6;11
2021-02-13;6;11
2021-02-14;6;11
2021-02-15;6;11
2021-02-16;6;11
2021-02-17;6;11
2021-02-18;6;11
2021-02-19;6;11
2021-02-20;6;11
2021-02-21;6;11
2021-02-22;6;11
2021-02-23;6;11
2021-02-24;6;11
2021-02-25;6;11
2021-02-26;6;11
2021-02-27;6;11
2021-02-28;6;11
2021-03-01;6;11
2021-03-02;6;11
2021-03-03;6;11
2021-03-04;6;11
2021-03-05;6;11
2021-03-06;6;11
2021-03-07;6;11
2021-03-08;6;11
2021-03-09;6;11
